Timestamp (EST),Atlantic - rainRate (in/hr),1-min rain (in),Chem - rainRate (in/hr),1-min rain (in),Golf - rainRate (in/hr),1-min rain (in),VMH - rainRate (in/hr),1-min rain (in),Avg Rate b/w stations (in/hr),Avg Accumulation b/w stations (in),Total Average Accumulation 
3:31:00 PM,0,0,0,0,0,0,0,0,0,0,
3:32:00 PM,0,0,0,0,0.2,0.01,0,0.01,0.05,0.005,0.005
3:33:00 PM,0,0,0,0.01,1.9,0.02,2.1,0.02,1,0.0125,0.0175
3:34:00 PM,0,0.01,1.49,0.02,3.05,0.04,4.68,0.05,2.305,0.03,0.0475
3:35:00 PM,4.65,0.08,3.53,0.06,4.97,0.07,6.47,0.08,4.905,0.0725,0.12
3:36:00 PM,7.68,0.07,10.47,0.09,4.97,0.06,6.47,0.08,7.3975,0.075,0.195
3:37:00 PM,7.02,0.07,10.47,0.09,5.38,0.07,6,0.05,7.2175,0.07,0.265
3:38:00 PM,5.82,0.03,6.7,0.04,5.01,0.06,5.94,0.04,5.8675,0.0425,0.3075
3:39:00 PM,2.72,0.02,5.1,0.07,5.01,0.02,2.94,0.01,3.9425,0.03,0.3375
3:40:00 PM,1.52,0.02,4.06,0.02,1.98,0.03,0.87,0.01,2.1075,0.02,0.3575
3:41:00 PM,1.39,0.02,1.02,0.02,1.3,0.01,1.48,0.02,1.2975,0.0175,0.375
3:42:00 PM,0.99,0.02,1.56,0.02,0.71,0.01,0.97,0.02,1.0575,0.0175,0.3925
3:43:00 PM,0.41,0,0.97,0.01,0.33,0,0.46,0,0.5425,0.0025,0.395
3:44:00 PM,0.25,0,0.48,0,0.33,0.01,0.46,0.01,0.38,0.005,0.4
3:45:00 PM,0.17,0,0.48,0.01,0.32,0,0.32,0,0.3225,0.0025,0.4025
3:46:00 PM,0.13,0,0.32,0,0.32,0.01,0.32,0.01,0.2725,0.005,0.4075
3:47:00 PM,0.13,0.01,0.32,0.01,0.3,0,0.28,0,0.2575,0.005,0.4125
3:48:00 PM,0.12,0,0.31,0,0.21,0,0.21,0,0.2125,0,0.4125
3:49:00 PM,0.12,0,0.2,0,0.15,0,0.15,0,0.155,0,0.4125
3:50:00 PM,0.12,0,0.15,0,0.12,0,0.12,0,0.1275,0,0.4125
3:51:00 PM,0.12,0,0.12,0,0.1,0,0.1,0,0.11,0,0.4125
3:52:00 PM,0.11,0,0.1,0,0.09,0,0.08,0,0.095,0,0.4125
3:53:00 PM,0.09,0,0.09,0,0.08,0,0.07,0,0.0825,0,0.4125
3:54:00 PM,0.08,0,0.08,0,0.08,0.01,0.07,0,0.0775,0.0025,0.415
3:55:00 PM,0.07,0,0.07,0,0.07,0,0.06,0,0.0675,0,0.415
3:56:00 PM,0.06,0,0.06,0,0.07,0,0.05,0,0.06,0,0.415
3:57:00 PM,0.06,0,0.05,0,0.07,0,0.05,0,0.0575,0,0.415
3:58:00 PM,0.05,0,0.05,0,0.07,0,0.05,0,0.055,0,0.415
3:59:00 PM,0.05,0,0.05,0,0.07,0,0.04,0,0.0525,0,0.415
4:00:00 PM,0.04,0,0.04,0,0.07,0,0.04,0,0.0475,0,0.415
4:01:00 PM,0.04,0,0.04,0,0.07,0,0.04,0,0.0475,0,0.415
4:02:00 PM,0.04,0,0.04,0,0.07,0,0,0,0.0375,0,0.415
4:03:00 PM,0.04,0,0.04,0,0.06,0,0,0,0.035,0,0.415
4:04:00 PM,0,0,0,0,0.06,0,0,0,0.015,0,0.415
4:05:00 PM,0,0,0,0,0.05,0,0,0,0.0125,0,0.415
4:06:00 PM,0,0,0,0,0.05,0,0,0,0.0125,0,0.415
4:07:00 PM,0,0,0,0,0.04,0,0,0,0.01,0,0.415
4:08:00 PM,0,0,0,0,0.04,0,0,0,0.01,0,0.415
4:09:00 PM,0,0,0,0,0.04,0,0,0,0.01,0,0.415
4:10:00 PM,0,0,0,0,0.04,0,0,0,0.01,0,0.415
4:11:00 PM,0,0,0,0,0,0,0,0,0,0,0.415
4:12:00 PM,0,0,0,0,0,0,0,0,0,0,0.415
4:13:00 PM,0,0,0,0,0,0,0,0,0,0,0.415
4:14:00 PM,0,0,0,0,0,0,0,0,0,0,0.415
4:15:00 PM,0,0,0,0,0,0,0,0,0,0,0.415
4:16:00 PM,0,0,0,0,0,0,0,0,0,0,0.415
4:17:00 PM,0,0,0,0,0,0,5.54,0.05,1.385,0.0125,0.4275
4:18:00 PM,4.11,0.04,4.61,0.04,0,0,7.48,0.1,4.05,0.045,0.4725
4:19:00 PM,4.11,0.02,4.61,0.06,0,0,7.48,0.08,4.05,0.04,0.5125
4:20:00 PM,5.1,0.06,6.13,0.08,0,0.01,5.82,0.05,4.2625,0.05,0.5625
4:21:00 PM,5.1,0.01,6.06,0.05,0,0,2.73,0.02,3.4725,0.02,0.5825
4:22:00 PM,0.69,0.01,2.91,0.01,0,0,0.47,0,1.0175,0.005,0.5875
4:23:00 PM,0.32,0,0.33,0,0,0,1.14,0.02,0.4475,0.005,0.5925
4:24:00 PM,0.32,0.01,0.81,0.01,0.13,0,0.4,0,0.415,0.005,0.5975
